name,weat_es,type1_precision_diff,type1_recall_diff,type1_f1_diff,type2_precision_diff,type2_recall_diff,type2_f1_diff,CoNLL F1
original1,1.2441107830506621,0.14473493458273434,0.1269221438210087,0.135284128296703,0.06588973678675014,0.054846289459195674,0.05993466320041585,0.6316943188305512
original2,1.2441107830506621,0.10556100114085365,0.09743477142857959,0.10133469686537488,0.11269202122647703,0.08414678421633925,0.09652261657286598,0.6280713660271764
original3,1.2441107830506621,0.21967514681525413,0.20264378473872807,0.21082041964013748,0.0966052336258807,0.0821027099067293,0.0887655672149742,0.6326581014490591
original4,1.2441107830506621,0.14255048585778418,0.130798765054441,0.13646899873562135,0.057138000129745015,0.04896725332160712,0.05281905676188314,0.6306458342147278
original5,1.2441107830506621,0.10480928652230714,0.08664150753289046,0.09506336840067986,0.07469585817348501,0.06291439201987792,0.06830236352731567,0.625709912512581
original6,1.2441107830506621,0.10913327506839032,0.09571146559020649,0.10210652570257728,0.0612486046172126,0.03290355725000493,0.04564533866693454,0.6292670297156485
original7,1.2441107830506621,0.14624820461203147,0.12801385856726433,0.1365782172660689,0.09130140716752366,0.06872981683693113,0.07880496125578595,0.6297093759785932
original8,1.2441107830506621,0.16328539908204354,0.1419440042182561,0.15187378399943785,0.06807834940067048,0.0470597915710933,0.056072724204770275,0.6297127596133922
original9,1.2441107830506621,0.07442480002766616,0.05910409072173772,0.06614832862884779,0.024085858730015564,0.004386329142533785,0.012686801478382748,0.6278448203288591
original10,1.2441107830506621,0.033641874313990794,0.03191531348136101,0.03276689337127381,0.02285272667985261,0.04159813675185564,0.034265765600491216,0.6278537044477249
db_weat7_debias_0.0,-0.28654530112671234,0.13469339212475595,0.127019590590282,0.1307576700371289,0.08854025021114109,0.06866646539017829,0.07750432113732397,0.6308976936609464
db_weat7_debias_0.1,-0.2402628625539566,0.11710025983820793,0.10661905765749946,0.1116593233167229,0.02078550302743054,0.06055492587331901,0.04293099300921688,0.6305792343005773
db_weat7_debias_0.2,-0.19869246199325402,0.11961968723350647,0.11057663516383875,0.11496012697774216,0.06302211316462214,0.05459499195405049,0.05863360503060311,0.6299728056261763
db_weat7_debias_0.3,0.6656511301145404,0.21007148307057433,0.18300557880666252,0.19573712051489583,0.1364861901606368,0.10216494237527696,0.11808779018086857,0.6293687350101457
db_weat7_debias_0.4,0.38009028409878864,0.11408034251618948,0.11241522623101563,0.11337322714181863,0.0619029942597612,0.04101984865789654,0.050182438437433086,0.625788386327839
db_weat7_debias_0.5,0.5743105734252254,0.022748594820738877,0.022903661706551337,0.022825719613829953,0.06110624878690807,0.05789136346969592,0.05945559404080436,0.6311485251175756
db_weat7_debias_0.6,0.9031011048118069,0.10730339478395123,0.09285319598142106,0.0997299209465724,0.09602420281643953,0.09782942336128786,0.0978399734726354,0.6306475015775557
db_weat7_debias_0.7,0.8418491872144497,0.0418645194659254,0.03504584280513068,0.03817474927058262,0.012679850513732549,0.02018889804658408,0.017097579397650664,0.6300698468580409
db_weat7_debias_0.8,1.0350104647893565,0.0934821120915863,0.071646534456132,0.08179565668936906,0.045003847666607255,0.05345888876505034,0.04973803450380454,0.63387802075414
db_weat7_debias_0.9,1.1735054411490893,0.06818560753019742,0.05893243277789206,0.06343882450466265,0.023159500344824835,0.024667721884064964,0.02399826932386817,0.6337351658067821
db_weat7_overbias_0.0,1.6770044330772569,0.07522055547539508,0.0717583468937959,0.07345758788114132,0.050321221263087024,0.04706592928381892,0.04864830330652492,0.6296771099465671
db_weat7_overbias_0.1,1.379757221031289,0.13007472261387076,0.12386280793143534,0.12690266675007034,0.06288054671764731,0.05849275247641872,0.06061195578834633,0.6300765997619266
db_weat7_overbias_0.2,1.3417602219410902,0.13090274117426526,0.12535142731221172,0.12806379614337216,0.08838980379628547,0.0647579917041553,0.07568438152682133,0.6278883716258804
db_weat7_overbias_0.3,1.5296270480962897,0.12038317704936952,0.1005046024976366,0.10979618987094186,0.04648464524785112,0.033126646834257256,0.0391818587361038,0.6287817392663827
db_weat7_overbias_0.4,1.348739619399364,0.10795146685277046,0.09958325407886814,0.10364885069043284,0.13322366091741378,0.1253007755763516,0.1291442291757242,0.6283137909312947
db_weat7_overbias_0.5,1.4044936552695295,0.16097682482746656,0.14322542490757134,0.15160749876616597,0.04397660419145588,0.04332080163576002,0.04391214203166127,0.6297636021788664
db_weat7_overbias_0.6,1.3496669473590195,0.053737650156426064,0.051889625257788285,0.05280535153146726,0.07461293706730698,0.0552297017141099,0.06396776863970466,0.6317056193068258
