name,weat_es_weat_6,weat_es_weat_7_twitter,weat_es_weat_8,precision_diff,recall_diff,f1_diff
original1,1.0500408225410123,1.6026078533498045,1.2641294149213678,-0.0031908831908832314,-0.03613348576215858,-0.0193881792607411
original2,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.008205844210693702,-0.0345517458045711,-0.01457282576090524
original3,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.004262557781201881,-0.028861845377828543,-0.013321718339488253
original4,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.0021726239889945376,-0.02230580596741405,-0.010581794039271397
original5,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.004459706959706988,-0.03304200228643239,-0.014743192291579388
original6,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.006673137587964173,-0.020549529186920212,-0.007530130769703769
original7,1.0500408225410123,1.6026078533498045,1.2641294149213678,-0.002315060177110473,-0.02339447940029149,-0.013384347507331307
original8,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.010269931909067997,-0.029219645864786314,-0.009785932721712687
original9,1.0500408225410123,1.6026078533498045,1.2641294149213678,-0.0010103867760579144,-0.032398397751965735,-0.016929423116076148
original10,1.0500408225410123,1.6026078533498045,1.2641294149213678,0.005637994634473453,-0.016727172765274245,-0.005910569678191702
db_weat_gender_debias_0.0,-1.031463176184148,0.45652071161709734,0.019672205528546358,0.0005808894319779823,-0.027240834635087086,-0.01374236574236587
db_weat_gender_debias_0.1,-0.4934076173342071,0.5669742081184779,0.6702655612967356,-0.007007865880228392,-0.02472968609552395,-0.015998105239974136
db_weat_gender_debias_0.2,0.04061888618020659,0.41078272761752643,0.8196360609981068,0.0033587509077704913,-0.04344439693164259,-0.020801892104966746
db_weat_gender_debias_0.3,0.7993402963640119,0.5217609387874116,0.7555088082013257,-0.0038952266409966185,-0.02964071595004758,-0.017261159842122953
db_weat_gender_debias_0.4,0.7217948674609957,0.9935101127848994,0.45726152515062296,0.0056776050829467906,-0.02941818150084219,-0.01279816384659449
db_weat_gender_debias_0.5,0.7332327986366728,1.0748688381721823,0.9773172478646984,0.009655802619555343,-0.03711089197043349,-0.013693064917892794
db_weat_gender_debias_0.6,0.4358232358710331,1.3039419087741808,0.8845667772657576,0.0008372846902270359,-0.027908437982703482,-0.013720667625721328
db_weat_gender_debias_0.7,0.7948952217566128,1.083584416128272,1.0353039364519274,-0.004340232294122726,-0.027153566223634074,-0.015750213872933405
db_weat_gender_debias_0.8,1.0540476071827614,1.3470296468249514,0.6768244876763969,0.0028806557419980283,-0.038422099852516434,-0.017771256838350458
db_weat_gender_debias_0.9,1.238979169924597,1.420391232408897,1.1773371719873198,0.004465878948637481,-0.045733011022000336,-0.02189793568125953
db_weat_gender_overbias_0.0,1.7277034888452698,1.6935874837183191,1.5883492853904524,-0.0021946075357692774,-0.03415467453245946,-0.018212355009709746
db_weat_gender_overbias_0.1,1.6767149624636317,1.7146114448373544,1.251630485510044,-0.003350860913496234,-0.02252834041661944,-0.01328577757284799
db_weat_gender_overbias_0.2,1.7573417977174481,1.7162318047343972,1.5900112765447252,-0.006711683132420987,-0.032398397751965735,-0.01979899771186644
db_weat_gender_overbias_0.3,1.811395653310134,1.6876579654489734,1.479502540912387,0.0020876923792253477,-0.026907032961279054,-0.012872454073988182
