name,weat_es_weat_6,weat_es_weat_7_twitter,weat_es_weat_8,precision_diff,recall_diff,f1_diff
original1,1.480971017633795,1.413766809966533,1.538191597679329,-0.004974582425562812,-0.029219645864786314,-0.01733689304188224
original2,1.480971017633795,1.413766809966533,1.538191597679329,-0.0044580986516470356,-0.039399506060791234,-0.02229754490864555
original3,1.480971017633795,1.413766809966533,1.538191597679329,0.00019449955265105068,-0.026239429613662657,-0.013746712761360969
original4,1.480971017633795,1.413766809966533,1.538191597679329,0.0018529797601198883,-0.028329508067964637,-0.013778219701249705
original5,1.480971017633795,1.413766809966533,1.538191597679329,0.006555851626274256,-0.023617013849496882,-0.009092560226188096
original6,1.480971017633795,1.413766809966533,1.538191597679329,0.002856433184302065,-0.033375803960240424,-0.01573843914455253
original7,1.480971017633795,1.413766809966533,1.538191597679329,-0.0027336249199914064,-0.024840953320126702,-0.013889332319009906
original8,1.480971017633795,1.413766809966533,1.538191597679329,-0.0006828376125294078,-0.02043826196231746,-0.01106413322358235
original9,1.480971017633795,1.413766809966533,1.538191597679329,0.010407374368123778,-0.025794360715251874,-0.008776272143085073
original10,1.480971017633795,1.413766809966533,1.538191597679329,-0.002467152055315225,-0.03206459607815759,-0.01757956532878835
db_weat_gender_debias_0.0,-0.6631648781980191,0.7024544867405604,0.3113324946324916,0.004701818591020035,-0.02448315283316893,-0.010733031423546202
db_weat_gender_debias_0.1,-0.37394986550972126,0.4359217714227355,0.37484534884295534,0.005631410308016838,-0.029577446351744086,-0.011267006802720969
db_weat_gender_debias_0.2,-0.3872795904065199,0.7184523851565064,1.075388406134124,-0.002849002849002913,-0.036443288622817205,-0.020013867244542904
db_weat_gender_debias_0.3,0.2919726242617747,0.6358759507014362,1.032374242036247,-0.0005073882855617384,-0.029330913089389066,-0.015061382404004564
db_weat_gender_debias_0.4,0.5273226131499494,0.2951485483602804,0.6343825514423248,-0.0040605823214519,-0.0402896438576128,-0.022149551137434442
db_weat_gender_debias_0.5,0.4188523338158579,0.6868268815746014,1.0827058991231986,0.008128095018840265,-0.03599821972440631,-0.014753267441439344
db_weat_gender_debias_0.6,0.7308053357772779,1.3135174034720152,1.4508332578316416,-0.0024628500384820118,-0.028106973618759246,-0.015816055289739617
db_weat_gender_debias_0.7,0.757808044768755,1.297029600950722,1.116876530731223,-0.0042452284557548126,-0.05100184136348174,-0.02831002236774749
db_weat_gender_debias_0.8,1.336325878902835,0.7720027717559668,1.3539286044387588,0.005916598407122997,-0.030197052073061115,-0.012672557466746337
db_weat_gender_debias_0.9,1.403599329334702,1.159131948214924,1.3574244667687716,0.007114860577102533,-0.028750578153225903,-0.012007912957467837
db_weat_gender_overbias_0.0,1.8080593650649737,1.5008673256730554,1.7285508832227081,0.0031957998059692905,-0.0241493511593609,-0.011366013284558107
db_weat_gender_overbias_0.1,1.7276958799677793,1.593634678257372,1.4775940290931726,-0.004797217841548296,-0.043666931380848095,-0.024655799686117863
db_weat_gender_overbias_0.2,1.7430476344738495,1.660104510716188,1.4957963998349386,-8.737970120986649e-05,-0.03061812215832227,-0.016176151041792375
db_weat_gender_overbias_0.3,1.7290216898653246,1.5857009208563682,1.5121207833825026,-0.004092629448795626,-0.03072938938292502,-0.018015706731660086
db_weat_gender_overbias_0.4,1.5924508311737844,1.702542193985315,1.433883175300652,-0.009919655177187736,-0.03490954629152876,-0.02276786590512081
db_weat_gender_overbias_0.5,1.5819803285842409,1.6697429817890295,1.5282490385495304,-0.0010518764117927182,-0.02732810304654021,-0.014889705882353055
db_weat_gender_overbias_0.6,1.6126163536734293,1.5243912252886265,1.3460211808470537,-0.0028427550357374987,-0.021884735882152673,-0.012523986467749881
db_weat_gender_overbias_0.7,1.597026657578292,1.4213041414852983,1.5190643682844849,0.00281254721476476,-0.034353210168515336,-0.016361170359448396
db_weat_gender_overbias_0.8,1.4404614816987873,1.4793978581832294,1.550329099777112,0.012552766051988518,-0.034241942943912584,-0.011783295839137065
db_weat_gender_overbias_0.9,1.408310028470452,1.3198305696991979,1.4485003113360484,0.005835744918238461,-0.03437720898166485,-0.014257146423259481
ar_weat_gender_debias_reg1e-1_sim0.0_ant0.0,0.926638538273146,0.9588228668506041,0.8511149750518401,0.005351681957186494,-0.0378657637295029,-0.016710566615620204
ar_weat_gender_debias_reg1e-1_sim0.0_ant1.0,0.7261836543166711,0.7449925768016876,0.6177283400113288,-0.0028894922199005357,-0.023084676539632976,-0.013179813408259133
ar_weat_gender_debias_reg1e-1_sim1.0_ant0.0,0.8138101779348536,0.8652147570071957,0.7214231708371919,0.0024825265691893472,-0.023084676539632976,-0.010582417600794813
ar_weat_gender_debias_reg1e-1_sim1.0_ant1.0,0.6729447509171999,0.7736393080939087,0.3669758328096197,-0.00259587020648977,-0.032398397751965735,-0.01779026529674732
ar_weat_gender_debias_reg5e-2_sim0.0_ant0.0,0.09908560127983568,0.05311827774121511,-0.3192550313517863,0.010067766618377716,-0.027995706394156605,-0.009997325226564935
ar_weat_gender_debias_reg5e-2_sim0.0_ant1.0,-0.361121237098527,-0.35458017320682156,-0.8412947720441013,-0.003115768094534732,-0.020128459101658946,-0.011863418136133341
ar_weat_gender_debias_reg5e-2_sim1.0_ant0.0,-0.09217748670535594,-0.16980828353964939,-0.6028041721123559,-0.00459287296898081,-0.02155093420834464,-0.01331269349845221
ar_weat_gender_debias_reg5e-2_sim1.0_ant1.0,-0.546127045923158,-0.5760558160678183,-1.0835590467834386,0.0045655619426111516,-0.034599743430870245,-0.01487459039648964
ar_weat_gender_debias_reg1e-2_sim0.0_ant0.0,-1.8179977045010032,-1.8886802344391818,-1.8904884252976935,0.0016799304607872934,-0.032398397751965735,-0.015628635951624892
ar_weat_gender_debias_reg1e-2_sim0.0_ant1.0,-1.9160864441727123,-1.9575061551311734,-1.9379997997034393,0.005245505245505155,-0.027042298999031322,-0.010841728589379707
ar_weat_gender_debias_reg1e-2_sim1.0_ant0.0,-1.892432279339393,-1.944168458211499,-1.932761647233295,0.007297344000298911,-0.02877457696637542,-0.01135343838046543
ar_weat_gender_debias_reg1e-2_sim1.0_ant1.0,-1.9508963157561154,-1.985590557456857,-1.9626916673385861,0.006881444896778333,-0.03610948694900906,-0.015163482342832824
ar_weat_gender_overbias_reg1e-1_sim0.0_ant0.0,1.6928932942251547,1.6045554143062724,1.7552249198787115,0.004442590468244911,-0.030308319297663755,-0.013458957765284718
ar_weat_gender_overbias_reg1e-1_sim0.0_ant1.0,1.7230370281924758,1.6394337168400641,1.7650421968722412,0.0032756857054500044,-0.02657323128747091,-0.012298812298812356
ar_weat_gender_overbias_reg1e-1_sim1.0_ant0.0,1.7230169891836815,1.6172067131248111,1.7543368360855318,0.004283764063456208,-0.03404340730785682,-0.015138432691850556
ar_weat_gender_overbias_reg1e-1_sim1.0_ant1.0,1.7336095010191022,1.653151683114832,1.7873425242390668,0.005835834240128679,-0.0316195271797467,-0.013429258209387451
ar_weat_gender_overbias_reg5e-2_sim0.0_ant0.0,1.7757725106906215,1.7046462070633799,1.8231970018166657,0.00029120045180186516,-0.020796062449275232,-0.010310680548791473
ar_weat_gender_overbias_reg5e-2_sim0.0_ant1.0,1.808080384403147,1.7471815426798831,1.8642536896502604,-0.0019221264210005362,-0.01641736990461562,-0.00919446624481568
